epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.22784,2.77583,3.67608,1.89696,0.00911,0.41624,0.01779,0.00553,2.22451,3.55613,1.56589,0.00016,0.00016,0.00016
2,9.17174,2.31564,2.55274,1.51188,0.01611,0.73604,0.08689,0.03011,2.19451,3.17124,1.43501,0.000336634,0.000336634,0.000336634
3,12.8549,2.23966,1.81362,1.3894,0.01633,0.74619,0.105,0.03337,2.10118,3.10893,1.38409,0.000509704,0.000509704,0.000509704
4,17.1448,2.15093,1.65303,1.3483,0.01578,0.72081,0.31314,0.11276,2.1185,3.05159,1.45637,0.00067921,0.00067921,0.00067921
5,20.2205,2.13224,1.58956,1.40536,0.01633,0.74619,0.03322,0.01083,2.25014,3.10515,1.5157,0.000845152,0.000845152,0.000845152
6,23.1626,2.14396,1.56778,1.4315,0.01711,0.78173,0.03265,0.01142,2.16478,3.12379,1.47874,0.00100753,0.00100753,0.00100753
7,25.976,2.10641,1.49714,1.39975,0.27761,0.1112,0.18358,0.05941,2.17814,2.70753,1.52403,0.00116634,0.00116634,0.00116634
8,30.1649,2.10656,1.52688,1.43542,0.67309,0.16723,0.39656,0.13192,2.1515,2.44335,1.54292,0.00132159,0.00132159,0.00132159
9,34.0128,2.0895,1.43238,1.38745,0.64702,0.41872,0.46733,0.15498,2.28023,2.10502,1.62514,0.00147328,0.00147328,0.00147328
10,36.813,2.15663,1.47016,1.37527,0.12359,0.31472,0.0927,0.02793,2.34181,2.40502,1.68269,0.0016214,0.0016214,0.0016214
11,39.6222,2.10036,1.45215,1.41514,0.07097,0.4467,0.05315,0.01713,2.40202,4.68305,1.75683,0.00176596,0.00176596,0.00176596
12,42.7194,2.09153,1.46326,1.38476,0.51677,0.60258,0.43957,0.13981,2.32621,1.68926,1.6147,0.0017822,0.0017822,0.0017822
13,47.0213,2.07452,1.45043,1.37489,0.77968,0.68261,0.75484,0.25532,2.25062,1.32401,1.53955,0.0017624,0.0017624,0.0017624
14,50.4977,2.06972,1.41333,1.36403,0.68565,0.63112,0.68672,0.23036,2.32366,1.39331,1.61668,0.0017426,0.0017426,0.0017426
15,53.2596,2.0748,1.41243,1.39614,0.68018,0.56138,0.61674,0.19088,2.34893,1.60103,1.58814,0.0017228,0.0017228,0.0017228
16,55.9825,2.04348,1.32886,1.35227,0.78613,0.72589,0.77671,0.26169,2.2658,1.23004,1.55733,0.001703,0.001703,0.001703
17,59.5327,2.0372,1.22335,1.37419,0.73351,0.73604,0.75215,0.26196,2.20281,1.26079,1.47994,0.0016832,0.0016832,0.0016832
18,63.7509,2.13993,1.30849,1.38351,0.74795,0.6929,0.7334,0.23303,2.33581,1.2328,1.51419,0.0016634,0.0016634,0.0016634
19,66.6345,2.08336,1.32752,1.39057,0.70788,0.61505,0.68662,0.2362,2.29351,1.27837,1.51688,0.0016436,0.0016436,0.0016436
20,69.5654,2.05711,1.27392,1.41231,0.3011,0.30964,0.21046,0.08337,2.30858,2.02089,1.49039,0.0016238,0.0016238,0.0016238
